Age,nat,loc,value,loc_code
0,Nationalité (catégorie) - Total,Suisse,86296,8100
1,Nationalité (catégorie) - Total,Suisse,86967,8100
2,Nationalité (catégorie) - Total,Suisse,86612,8100
3,Nationalité (catégorie) - Total,Suisse,84936,8100
4,Nationalité (catégorie) - Total,Suisse,85304,8100
5,Nationalité (catégorie) - Total,Suisse,84434,8100
6,Nationalité (catégorie) - Total,Suisse,85702,8100
7,Nationalité (catégorie) - Total,Suisse,84384,8100
8,Nationalité (catégorie) - Total,Suisse,83741,8100
9,Nationalité (catégorie) - Total,Suisse,82195,8100
10,Nationalité (catégorie) - Total,Suisse,81375,8100
11,Nationalité (catégorie) - Total,Suisse,81149,8100
12,Nationalité (catégorie) - Total,Suisse,81083,8100
13,Nationalité (catégorie) - Total,Suisse,79781,8100
14,Nationalité (catégorie) - Total,Suisse,81032,8100
15,Nationalité (catégorie) - Total,Suisse,81507,8100
16,Nationalité (catégorie) - Total,Suisse,86685,8100
17,Nationalité (catégorie) - Total,Suisse,86703,8100
18,Nationalité (catégorie) - Total,Suisse,89200,8100
19,Nationalité (catégorie) - Total,Suisse,92380,8100
20,Nationalité (catégorie) - Total,Suisse,94875,8100
21,Nationalité (catégorie) - Total,Suisse,95443,8100
22,Nationalité (catégorie) - Total,Suisse,97644,8100
23,Nationalité (catégorie) - Total,Suisse,100957,8100
24,Nationalité (catégorie) - Total,Suisse,106616,8100
25,Nationalité (catégorie) - Total,Suisse,109592,8100
26,Nationalité (catégorie) - Total,Suisse,112685,8100
27,Nationalité (catégorie) - Total,Suisse,113549,8100
28,Nationalité (catégorie) - Total,Suisse,116985,8100
29,Nationalité (catégorie) - Total,Suisse,115770,8100
30,Nationalité (catégorie) - Total,Suisse,117891,8100
31,Nationalité (catégorie) - Total,Suisse,118441,8100
32,Nationalité (catégorie) - Total,Suisse,119771,8100
33,Nationalité (catégorie) - Total,Suisse,118859,8100
34,Nationalité (catégorie) - Total,Suisse,121138,8100
35,Nationalité (catégorie) - Total,Suisse,120459,8100
36,Nationalité (catégorie) - Total,Suisse,120823,8100
37,Nationalité (catégorie) - Total,Suisse,117375,8100
38,Nationalité (catégorie) - Total,Suisse,115893,8100
39,Nationalité (catégorie) - Total,Suisse,115789,8100
40,Nationalité (catégorie) - Total,Suisse,114962,8100
41,Nationalité (catégorie) - Total,Suisse,114328,8100
42,Nationalité (catégorie) - Total,Suisse,116773,8100
43,Nationalité (catégorie) - Total,Suisse,117430,8100
44,Nationalité (catégorie) - Total,Suisse,120737,8100
45,Nationalité (catégorie) - Total,Suisse,124455,8100
46,Nationalité (catégorie) - Total,Suisse,126056,8100
47,Nationalité (catégorie) - Total,Suisse,129200,8100
48,Nationalité (catégorie) - Total,Suisse,131923,8100
49,Nationalité (catégorie) - Total,Suisse,133045,8100
50,Nationalité (catégorie) - Total,Suisse,135438,8100
51,Nationalité (catégorie) - Total,Suisse,135542,8100
52,Nationalité (catégorie) - Total,Suisse,137480,8100
53,Nationalité (catégorie) - Total,Suisse,132962,8100
54,Nationalité (catégorie) - Total,Suisse,127619,8100
55,Nationalité (catégorie) - Total,Suisse,122990,8100
56,Nationalité (catégorie) - Total,Suisse,119313,8100
57,Nationalité (catégorie) - Total,Suisse,115325,8100
58,Nationalité (catégorie) - Total,Suisse,110590,8100
59,Nationalité (catégorie) - Total,Suisse,107594,8100
60,Nationalité (catégorie) - Total,Suisse,103695,8100
61,Nationalité (catégorie) - Total,Suisse,99032,8100
62,Nationalité (catégorie) - Total,Suisse,95579,8100
63,Nationalité (catégorie) - Total,Suisse,91869,8100
64,Nationalité (catégorie) - Total,Suisse,90533,8100
65,Nationalité (catégorie) - Total,Suisse,86145,8100
66,Nationalité (catégorie) - Total,Suisse,87745,8100
67,Nationalité (catégorie) - Total,Suisse,85790,8100
68,Nationalité (catégorie) - Total,Suisse,86206,8100
69,Nationalité (catégorie) - Total,Suisse,84482,8100
70,Nationalité (catégorie) - Total,Suisse,83660,8100
71,Nationalité (catégorie) - Total,Suisse,79380,8100
72,Nationalité (catégorie) - Total,Suisse,77360,8100
73,Nationalité (catégorie) - Total,Suisse,74007,8100
74,Nationalité (catégorie) - Total,Suisse,69833,8100
75,Nationalité (catégorie) - Total,Suisse,64398,8100
76,Nationalité (catégorie) - Total,Suisse,58444,8100
77,Nationalité (catégorie) - Total,Suisse,55966,8100
78,Nationalité (catégorie) - Total,Suisse,53160,8100
79,Nationalité (catégorie) - Total,Suisse,49931,8100
80,Nationalité (catégorie) - Total,Suisse,48295,8100
81,Nationalité (catégorie) - Total,Suisse,46289,8100
82,Nationalité (catégorie) - Total,Suisse,43298,8100
83,Nationalité (catégorie) - Total,Suisse,39825,8100
84,Nationalité (catégorie) - Total,Suisse,37264,8100
85,Nationalité (catégorie) - Total,Suisse,33838,8100
86,Nationalité (catégorie) - Total,Suisse,31328,8100
87,Nationalité (catégorie) - Total,Suisse,27234,8100
88,Nationalité (catégorie) - Total,Suisse,23887,8100
89,Nationalité (catégorie) - Total,Suisse,20183,8100
90,Nationalité (catégorie) - Total,Suisse,17415,8100
91,Nationalité (catégorie) - Total,Suisse,14544,8100
92,Nationalité (catégorie) - Total,Suisse,11754,8100
93,Nationalité (catégorie) - Total,Suisse,9260,8100
94,Nationalité (catégorie) - Total,Suisse,6905,8100
95,Nationalité (catégorie) - Total,Suisse,5372,8100
96,Nationalité (catégorie) - Total,Suisse,3693,8100
97,Nationalité (catégorie) - Total,Suisse,2220,8100
98,Nationalité (catégorie) - Total,Suisse,1481,8100
99,Nationalité (catégorie) - Total,Suisse,921,8100
100,Nationalité (catégorie) - Total,Suisse,1546,8100
0,Suisse,Suisse,61993,8100
1,Suisse,Suisse,62396,8100
2,Suisse,Suisse,62239,8100
3,Suisse,Suisse,61181,8100
4,Suisse,Suisse,61885,8100
5,Suisse,Suisse,61490,8100
6,Suisse,Suisse,62419,8100
7,Suisse,Suisse,61602,8100
8,Suisse,Suisse,61394,8100
9,Suisse,Suisse,60383,8100
10,Suisse,Suisse,60209,8100
11,Suisse,Suisse,60032,8100
12,Suisse,Suisse,60680,8100
13,Suisse,Suisse,60368,8100
14,Suisse,Suisse,62163,8100
15,Suisse,Suisse,63223,8100
16,Suisse,Suisse,67837,8100
17,Suisse,Suisse,68243,8100
18,Suisse,Suisse,70116,8100
19,Suisse,Suisse,71749,8100
20,Suisse,Suisse,74229,8100
21,Suisse,Suisse,73697,8100
22,Suisse,Suisse,74764,8100
23,Suisse,Suisse,75908,8100
24,Suisse,Suisse,78771,8100
25,Suisse,Suisse,78976,8100
26,Suisse,Suisse,78773,8100
27,Suisse,Suisse,77209,8100
28,Suisse,Suisse,76930,8100
29,Suisse,Suisse,73741,8100
30,Suisse,Suisse,74063,8100
31,Suisse,Suisse,72492,8100
32,Suisse,Suisse,72681,8100
33,Suisse,Suisse,71683,8100
34,Suisse,Suisse,72833,8100
35,Suisse,Suisse,72264,8100
36,Suisse,Suisse,72631,8100
37,Suisse,Suisse,71416,8100
38,Suisse,Suisse,70411,8100
39,Suisse,Suisse,71239,8100
40,Suisse,Suisse,71538,8100
